ExecTime,PlaceTime,placeID,PlaceQty,BrokerKey,SecType,SecKey,limit,price,EstPrice,Algo,TranCode,ExchangeID,IndGrpID,SectorID,Currency,MFTotalCost
10410743,13:36,908369,300000,10000190,mbus,135779,mkt,106.147,106.4,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,318441
10679076,13:36,908370,295000,10000204,mbus,162310,mkt,122.276,121.455,                                                                                                                                                                                                                                                                ,1,0,1329,1382,us,360714.2
10852853,13:36,908371,100000,10000312,mbus,162561,mkt,104.223,104.514,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,104223
10796520,13:36,908372,150000,10000189,mbus,145949,mkt,101.786,102.002,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,152679
2000470,13:50,908374,1660,105690,ctus,145856,mkt,14.86,14.96,                                                                                                                                                                                                                                                                ,1,0,0,0,us,24655.8999
4222230,14:00,908375,2000,105690,ctus,131436,mkt,10.63,10.64,                                                                                                                                                                                                                                                                ,0,0,0,0,us,21276
16000,16:09,908611,1250000,10000203,mbus,143758,mkt,100,99.767,                                                                                                                                                                                                                                                                ,1,0,1330,1383,us,1250000
19880,16:09,908612,320000,10000169,abus,170254,mkt,100.4375,100,                                                                                                                                                                                                                                                                ,0,0,1356,1409,us,321400
29583,16:22,908613,50000,10000188,tnus,146581,mkt,100.03125,100.0234,                                                                                                                                                                                                                                                                ,1,0,1461,1462,us,50015.625
12030,17:13,908618,250000,10000073,mbus,137013,mkt,102.892,103.138,                                                                                                                                                                                                                                                                ,1,0,1312,1365,us,257230
27326,8:48,908765,720000,10000167,agus,158632,MKT,100.0455,100,                                                                                                                                                                                                                                                                ,0,0,1350,1403,us,720327.6
10080846,9:09,908766,50000,10000292,cbus,35119,mkt,110.586,110.0554,                                                                                                                                                                                                                                                                ,1,0,1332,1385,us,55293
28200,11:50,908814,1574676,10000171,fmus,170278,mkt,108.671875,108.75,                                                                                                                                                                                                                                                                ,0,0,1353,1406,us,1693881.246
418673,12:02,908818,1050000,10000165,mbus,154037,mkt,101.625,102.228,                                                                                                                                                                                                                                                                ,1,0,1324,1377,us,1067062.5
104270,12:04,908820,700000,10000189,mbus,170273,mkt,107.328,107.328,                                                                                                                                                                                                                                                                ,0,0,1311,1364,us,751296
196130,12:04,908821,1500000,10000190,mbus,170277,mkt,115.61,115.61,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,1734150
8128556,12:17,908823,1050000,10000165,mbus,152543,mkt,103.295,103.385,                                                                                                                                                                                                                                                                ,1,0,1315,1368,us,1084597.5
